Date,Time,Temperature,Humidity,Heat Index,MQ7,MQ8,MQ135
24/11/2023,21:10:31,28.7,47,28.96,0,0,0
24/11/2023,21:10:40,28.7,47,28.96,0,0,0
24/11/2023,21:10:49,28.7,47,28.96,0,0,0
24/11/2023,21:10:58,28.8,47,29.07,0,0,0
24/11/2023,21:11:06,28.8,47,29.07,0,0,0
21/03/2024,18:16:21,25.4,53,25.38,0,0,0
21/03/2024,18:16:29,25.4,53,25.38,0,0,0
21/03/2024,18:16:36,25.4,53,25.38,0,0,0
21/03/2024,18:16:43,25.4,53,25.38,0,0,0
21/03/2024,18:16:50,25.4,53,25.38,0,0,0
21/03/2024,18:16:57,25.4,53,25.38,0,0,0
